,timestep,imgid,x_gt,y_gt,onboard_lat,onboard_lon,translated_onboard_x,translated_onboard_y
0,7009129.0,1.0,465666.057548,5247973.646622,47.3843571,8.5451784,465670.70684739866,5247978.033436625
1,7988182.0,31.0,465665.957153,5247973.611734,47.3843499,8.5451832,465671.0644695993,5247977.231158378
2,9002265.0,61.0,465665.909026,5247973.676972,47.3843498,8.5451899,465671.5701104328,5247977.217090794
3,9998204.0,91.0,465665.829212,5247973.715876,47.3843495,8.545194,465671.8793774015,5247977.181942932
4,10997044.0,121.0,465665.782634,5247973.631864,47.3843539,8.545201,465672.410583174,5247977.667844243
5,11988960.0,151.0,465665.595499,5247973.569697,47.384356,8.5452011,465672.41949433653,5247977.901180666
6,12990712.0,181.0,465665.469848,5247973.536518,47.3843575,8.5451976,465672.1562935236,5247978.069424243
7,13989764.0,211.0,465665.496991,5247973.448533,47.3843593,8.5451929,465671.8027133391,5247978.271537009
8,14990721.0,241.0,465665.472788,5247973.300544,47.3843618,8.5451942,465671.9024583538,5247978.548797756
9,15983557.0,271.0,465665.414829,5247973.240896,47.3843626,8.5451949,465671.9558126372,5247978.637395974
10,16989655.0,301.0,465665.37755,5247973.39527,47.3843622,8.5451917,465671.7140219038,5247978.594353494
11,17985701.0,331.0,465665.407641,5247973.568785,47.3843595,8.5451878,465671.4179030496,5247978.296012447
12,18984784.0,361.0,465665.35783,5247973.66338,47.3843598,8.5451903,465671.6067939565,5247978.328250201
13,19983676.0,391.0,465665.311139,5247973.73119,47.3843597,8.5451866,465671.3274587445,5247978.318768276
14,20996026.0,421.0,465665.225663,5247973.793967,47.3843568,8.5451792,465670.76703539834,5247977.9997438025
15,21988746.0,451.0,465665.297074,5247973.887483,47.3843559,8.5451772,465670.6154941673,5247977.900605458
16,22986362.0,481.0,465665.390125,5247974.013123,47.3843545,8.5451701,465670.0786881456,5247977.748149134
17,23980061.0,511.0,465665.30685,5247974.177369,47.3843553,8.5451696,465670.0414683079,5247977.83727647
